Player,Nation,Squad,Position,Age,Minutes,Matches played,Starts,Goals,Assists,Yellow cards,Red cards,Expected: xG,Expected: xAG,Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90: Gls,Per 90: Ast,Per 90: xG,Per 90: xGA,Performance: GA90,Performance: Save%,Performance: CS%,Penalty Kicks: Save%,Standard: SoT%,Standard: SoT/90,Standard: G/Sh,Standard: Dist,Total: Cmp,Total: Cmp%,Total: TotDist,Short: Cmp%,Medium: Cmp%,Long: Cmp%,Expected: KP,Expected: 1/3,Expected: PPA,Expected: CrsPA,SCA,SCA90,GCA,GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches Att 3rd,Touches Att Pen,TakeOns: Att,TakeOns: Succ%,TakeOns: Tkld%,Carries: Carries,Carries: PrgDist,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerials: Won,Aerials: Lost,Aerials: Won%
Vitaly Janelt,GER,Brentford,MF,26,"2,254",32,27,1,3,3,0,0.8,2.2,17,80,38,0.04,0.12,0.03,N/a,N/a,N/a,N/a,N/a,28.6,0.16,0.07,17.7,872,82.5,4279,90.6,85.4,55.9,14,78,23,7,32,1.28,3,0.12,38,22,N/a,15,33,9,24,27,1289,118,418,574,306,32,N/a,N/a,58.3,652,1278,18,3,N/a,N/a,814,24,15,1,30,107,19,11,63.3
Vladimír Coufal,CZE,West Ham,DF,32,876,19,9,0,0,4,0,0.2,0.6,15,33,25,0.00,0.00,0.02,N/a,N/a,N/a,N/a,N/a,25.0,0.10,0.00,16.7,370,77.6,2289,89.1,80.1,41.9,6,35,12,7,13,1.34,1,0.10,17,11,N/a,11,13,11,2,8,589,56,226,248,118,10,N/a,N/a,28.6,232,633,5,2,N/a,N/a,318,20,14,0,21,29,18,12,60.0
Wataru Endo,JPN,Liverpool,MF,32,237,18,1,0,0,0,0,0.0,0.1,0,14,5,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,148,93.1,527,93.8,95.1,100.0,2,14,1,0,6,2.26,0,0.00,11,8,N/a,4,7,1,6,3,196,7,49,110,38,3,N/a,N/a,0.0,88,84,0,1,N/a,N/a,138,14,6,0,0,12,2,3,40.0
Welington,BRA,Southampton,"DF,MF",24,215,7,3,0,0,1,0,0.0,0.0,3,6,10,0.00,0.00,0.02,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,31.3,69,77.5,318,82.9,78.0,75.0,2,5,5,4,6,2.51,1,0.42,13,5,N/a,5,3,1,2,3,131,11,46,48,40,2,N/a,N/a,0.0,47,116,3,1,N/a,N/a,55,3,5,0,10,10,0,2,0.0
Wes Burns,WAL,Ipswich Town,"FW,DF",30,926,18,12,0,1,1,0,0.5,1.6,38,8,65,0.00,0.10,0.05,N/a,N/a,N/a,N/a,N/a,14.3,0.10,0.00,18.3,153,60.5,597,80.4,65.4,38.9,10,8,8,7,16,1.55,1,0.10,13,11,N/a,6,7,2,5,10,350,21,69,129,160,18,N/a,N/a,58.3,216,696,13,10,N/a,N/a,220,4,11,0,46,50,8,21,27.6
Wesley Fofana,FRA,Chelsea,DF,24,"1,172",14,14,0,0,7,0,0.4,0.4,19,32,4,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,10.6,724,90.2,3415,93.9,92.5,61.9,6,54,1,0,15,1.15,0,0.00,13,12,N/a,8,14,9,5,14,933,81,370,523,55,10,N/a,N/a,20.0,557,1614,12,1,N/a,N/a,665,24,16,0,1,54,27,12,69.2
Wilfred Ndidi,NGA,Leicester City,MF,28,"2,147",26,26,0,4,8,0,2.0,1.8,17,65,75,0.00,0.17,0.09,N/a,N/a,N/a,N/a,N/a,36.4,0.34,0.00,13.9,775,80.3,2829,87.0,82.1,54.5,15,62,10,3,27,1.13,3,0.13,81,50,N/a,27,47,19,28,26,1298,113,430,634,246,60,N/a,N/a,53.1,628,1029,23,2,N/a,N/a,772,39,17,3,30,121,55,55,50.0
Will Hughes,ENG,Crystal Palace,MF,30,"1,899",30,21,0,3,11,0,1.0,2.7,19,83,24,0.00,0.14,0.05,N/a,N/a,N/a,N/a,N/a,5.0,0.05,0.00,22.5,672,75.8,3723,88.8,82.5,35.8,29,69,14,3,61,2.89,6,0.28,61,33,N/a,32,30,14,16,19,1096,42,259,562,287,15,N/a,N/a,42.9,478,1132,22,1,N/a,N/a,606,60,30,0,68,110,17,17,50.0
William Smallbone,IRL,Southampton,MF,25,646,15,6,1,0,1,0,0.4,0.6,5,25,23,0.14,0.00,0.06,N/a,N/a,N/a,N/a,N/a,16.7,0.14,0.17,19.3,257,77.6,1158,87.1,85.0,38.8,9,11,3,2,15,2.09,0,0.00,18,11,N/a,14,8,0,8,2,401,15,76,198,131,14,N/a,N/a,33.3,182,391,9,1,N/a,N/a,243,11,3,0,34,23,4,2,66.7
William Saliba,FRA,Arsenal,DF,24,"2,904",33,33,2,0,2,1,2.3,0.9,16,134,6,0.06,0.00,0.07,N/a,N/a,N/a,N/a,N/a,33.3,0.06,0.33,5.4,2320,94.2,12025,95.7,96.0,79.9,7,175,6,0,26,0.81,1,0.03,60,36,N/a,6,24,15,9,21,2717,178,1072,1519,141,18,N/a,N/a,31.6,1675,4013,17,1,N/a,N/a,2056,28,17,1,3,146,58,35,62.4
William Osula,DEN,Newcastle Utd,FW,21,104,12,0,1,0,0,0,0.1,0.1,2,2,12,0.87,0.00,0.10,N/a,N/a,N/a,N/a,N/a,33.3,0.87,0.33,14.5,11,61.1,33,61.5,50.0,N/a,1,0,1,0,2,1.73,0,0.00,1,0,N/a,2,0,0,0,4,41,1,2,17,22,4,N/a,N/a,50.0,25,55,1,0,N/a,N/a,27,2,1,1,1,2,4,1,80.0
Willian,BRA,Fulham,"FW,MF",36,241,9,2,0,0,0,0,0.3,0.5,9,38,31,0.00,0.00,0.10,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,22.1,163,85.8,811,94.2,86.1,73.7,5,18,10,2,15,5.60,0,0.00,3,1,N/a,4,0,0,0,1,211,1,17,76,122,6,N/a,N/a,50.0,138,460,9,2,N/a,N/a,168,1,0,0,13,14,1,2,33.3
Willy Boly,CIV,Nott'ham Forest,DF,34,150,6,1,0,0,1,0,0.1,0.0,0,2,0,0.00,0.00,0.04,N/a,N/a,N/a,N/a,N/a,100.0,0.60,0.00,10.2,55,78.6,477,90.9,93.8,26.7,0,3,0,0,0,0.00,0,0.00,6,1,N/a,0,4,2,2,3,97,22,63,32,2,1,N/a,N/a,N/a,35,45,0,0,N/a,N/a,46,1,0,0,0,5,6,2,75.0
Wilson Odobert,FRA,Tottenham,FW,20,629,13,7,1,0,0,0,1.2,0.9,40,21,56,0.14,0.00,0.17,N/a,N/a,N/a,N/a,N/a,27.3,0.43,0.09,16.8,173,77.2,459,91.6,71.4,60.0,5,8,10,3,14,2.01,1,0.14,9,3,N/a,5,4,0,4,3,306,5,32,109,168,32,N/a,N/a,48.3,221,1028,21,17,N/a,N/a,229,1,3,1,21,29,3,6,33.3
Wout Faes,BEL,Leicester City,DF,27,"2,545",31,27,1,0,4,0,1.4,0.1,12,80,1,0.04,0.00,0.05,N/a,N/a,N/a,N/a,N/a,9.1,0.04,0.09,10.0,1252,87.7,8100,93.8,95.0,53.7,4,79,6,0,17,0.60,0,0.00,39,23,N/a,20,45,33,12,26,1735,277,852,824,67,26,N/a,N/a,16.7,1011,2703,13,2,N/a,N/a,1154,21,10,1,5,87,41,34,54.7
Woyo Coulibaly,FRA,Leicester City,DF,25,109,4,1,0,0,1,0,0.0,0.0,4,3,2,0.00,0.00,0.04,N/a,N/a,N/a,N/a,N/a,50.0,0.83,0.00,19.4,48,84.2,314,82.4,84.2,100.0,0,3,0,0,0,0.00,0,0.00,6,4,N/a,0,3,1,2,5,76,8,27,31,20,4,N/a,N/a,100.0,48,169,2,1,N/a,N/a,36,2,1,0,0,14,0,3,0.0
Yankuba Minteh,GAM,Brighton,"FW,MF",20,"1,587",29,17,6,4,6,0,4.0,4.7,71,40,163,0.34,0.23,0.22,N/a,N/a,N/a,N/a,N/a,50.0,0.85,0.20,13.5,297,62.3,1656,78.3,61.9,47.5,25,13,29,8,54,3.07,11,0.62,45,32,N/a,28,20,0,20,11,723,30,129,204,408,121,N/a,N/a,44.0,410,1768,19,56,N/a,N/a,423,20,10,4,76,75,16,32,33.3
Yasin Ayari,SWE,Brighton,MF,21,"1,759",31,19,1,1,3,0,2.2,2.2,30,69,59,0.05,0.05,0.11,N/a,N/a,N/a,N/a,N/a,28.0,0.36,0.04,19.0,713,81.2,2895,91.5,84.7,37.1,28,52,17,4,58,2.97,6,0.31,54,29,N/a,30,23,6,17,20,1119,52,247,569,320,43,N/a,N/a,36.6,585,1398,25,6,N/a,N/a,716,33,23,3,64,107,14,20,41.2
Yehor Yarmoliuk,UKR,Brentford,MF,21,"1,196",28,12,0,0,5,0,0.6,0.9,15,52,44,0.00,0.00,0.05,N/a,N/a,N/a,N/a,N/a,22.2,0.15,0.00,15.9,535,85.5,2200,86.4,88.4,83.8,9,62,7,4,22,1.66,2,0.15,39,24,N/a,23,24,7,17,10,794,52,219,411,179,15,N/a,N/a,42.9,410,748,17,3,N/a,N/a,493,13,9,2,16,92,8,7,53.3
Yerson Mosquera,COL,Wolves,DF,24,441,5,5,0,0,2,0,0.3,0.1,0,7,0,0.00,0.00,0.07,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,12.4,205,85.4,1184,90.4,93.5,62.9,2,16,1,1,5,1.02,0,0.00,11,7,N/a,5,13,10,3,10,294,43,170,115,12,7,N/a,N/a,N/a,168,322,1,0,N/a,N/a,182,6,7,1,2,24,11,6,64.7
Yoane Wissa,COD,Brentford,FW,28,"2,650",32,31,18,3,2,0,16.5,1.8,51,57,135,0.61,0.10,0.56,N/a,N/a,N/a,N/a,N/a,46.3,1.26,0.23,13.4,408,76.1,1412,85.1,75.3,57.8,23,41,9,1,61,2.07,8,0.27,22,12,N/a,16,29,8,21,8,850,32,130,348,387,147,N/a,N/a,51.1,497,1452,23,28,N/a,N/a,599,28,47,14,20,67,29,34,46.0
Youri Tielemans,BEL,Aston Villa,MF,28,"2,997",35,35,3,7,4,0,3.1,6.9,39,234,48,0.09,0.21,0.09,N/a,N/a,N/a,N/a,N/a,31.6,0.36,0.08,20.3,1679,82.1,10189,89.7,87.4,54.1,59,228,37,4,119,3.57,12,0.36,83,57,N/a,33,37,16,21,22,2361,100,472,1357,557,42,N/a,N/a,30.0,1275,2541,26,9,N/a,N/a,1654,41,56,0,118,145,22,18,55.0
Yukinari Sugawara,JPN,Southampton,"DF,MF",24,"1,467",29,15,1,1,4,0,0.5,2.2,32,68,76,0.06,0.06,0.03,N/a,N/a,N/a,N/a,N/a,38.5,0.31,0.08,19.2,689,79.9,3323,88.2,82.9,47.9,17,43,21,9,39,2.39,1,0.06,29,16,N/a,12,17,7,10,10,1023,61,306,395,327,29,N/a,N/a,50.0,553,1354,15,7,N/a,N/a,692,15,9,4,69,40,5,9,35.7
Yves Bissouma,MLI,Tottenham,MF,28,"1,300",25,16,2,0,7,0,0.6,0.3,15,72,3,0.14,0.00,0.04,N/a,N/a,N/a,N/a,N/a,36.4,0.28,0.18,23.4,717,89.2,2772,92.7,92.9,63.2,6,59,10,1,15,1.04,0,0.00,47,29,N/a,15,9,6,3,16,981,63,282,554,151,5,N/a,N/a,66.7,577,1526,17,0,N/a,N/a,669,23,18,0,2,78,5,7,41.7
Álex Moreno,ESP,Nott'ham Forest,"DF,MF",31,955,15,11,0,1,2,0,0.2,1.3,26,34,34,0.00,0.09,0.02,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.7,308,72.0,1911,87.6,64.2,35.0,8,25,9,2,16,1.51,2,0.19,25,18,N/a,24,11,5,6,15,559,60,210,202,158,8,N/a,N/a,38.1,229,864,16,4,N/a,N/a,258,12,6,0,19,50,3,11,21.4
İlkay Gündoğan,GER,Manchester City,MF,34,"2,050",31,23,0,5,1,0,2.7,2.8,57,115,86,0.00,0.22,0.12,N/a,N/a,N/a,N/a,N/a,20.0,0.22,0.00,18.3,1408,89.3,4054,94.4,91.9,62.9,37,97,21,2,74,3.25,11,0.48,24,13,N/a,13,14,0,14,13,1748,43,256,848,664,60,N/a,N/a,37.1,1035,2813,52,9,N/a,N/a,1366,15,21,0,57,105,13,11,54.2
Łukasz Fabiański,POL,West Ham,GK,40,"1,070",13,12,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,304,67.0,6129,100.0,99.3,41.3,0,4,0,0,3,0.25,0,0.00,0,0,N/a,1,0,0,0,0,488,382,483,5,0,0,N/a,N/a,0.0,258,845,0,0,N/a,N/a,227,2,1,0,0,5,2,1,66.7
